"Tijd","Kost beste oplossing","nViolations beste oplossing","Feasibility factor beste oplossing"
"0","537.0","456","537.0"
"0","535.0","455","535.0"
"0","527.0","449","527.0"
"0","518.0","443","518.0"
"0","497.0","429","497.0"
"0","490.0","425","490.0"
"0","487.0","423","487.0"
"0","479.0","416","479.0"
"0","478.0","415","478.0"
"0","451.0","394","451.0"
"0","442.0","387","442.0"
"0","436.0","382","436.0"
"0","425.0","373","425.0"
"0","409.0","361","409.0"
"0","408.0","361","408.0"
"0","407.0","360","407.0"
"0","405.0","358","405.0"
"0","400.0","354","400.0"
"0","398.0","353","398.0"
"0","392.0","348","392.0"
"0","391.0","347","391.0"
"0","369.0","329","369.0"
"0","368.0","328","368.0"
"0","332.0","299","332.0"
"0","328.0","295","328.0"
"0","312.0","280","312.0"
"0","310.0","279","310.0"
"0","307.0","277","307.0"
"0","306.0","276","305.0"
"0","299.0","271","298.0"
"0","297.0","269","296.0"
"0","294.0","267","293.0"
"0","293.0","265","292.0"
"0","291.0","262","291.0"
"0","290.0","266","290.0"
"0","288.0","264","288.0"
"0","287.0","265","287.0"
"0","276.0","255","276.0"
