"Tijd","Kost beste oplossing","nViolations beste oplossing","Feasibility factor beste oplossing"
"0","4.205689235E9","819","819.0"
"0","4.174879246E9","813","813.0"
"0","4.113257923E9","801","801.0"
"0","4.072177334E9","793","793.0"
"0","4.010555975E9","781","781.0"
"0","3.948934723E9","769","769.0"
"0","3.897583601E9","759","759.0"
"0","3.861638483E9","752","752.0"
"0","3.835962972E9","747","747.0"
"0","3.825693416E9","745","745.0"
"0","3.78461277E9","737","737.0"
"0","3.722992167E9","725","725.0"
"0","3.692181894E9","719","719.0"
"0","3.656236275E9","712","712.0"
"0","3.635697147E9","708","708.0"
"0","3.604887058E9","700","702.0"
"0","3.589482484E9","697","699.0"
"0","3.5381318E9","687","689.0"
"0","3.507321328E9","681","683.0"
"0","3.476511071E9","675","677.0"
"0","3.43543175E9","667","669.0"
"0","3.414892044E9","663","665.0"
"0","3.384082051E9","657","659.0"
"0","3.353271556E9","651","653.0"
"0","3.322461417E9","645","647.0"
"0","3.317326537E9","644","646.0"
"0","3.286516007E9","638","640.0"
"0","3.250570436E9","631","633.0"
"0","3.194084278E9","620","622.0"
"0","3.163275201E9","614","616.0"
"0","3.127329574E9","606","609.0"
"0","3.106790091E9","602","605.0"
"0","3.096520193E9","597","603.0"
"0","3.065712353E9","587","597.0"
"0","3.045172439E9","583","593.0"
"0","3.029767531E9","580","590.0"
"0","2.973282761E9","569","579.0"
"0","2.94247241E9","563","573.0"
"0","2.921932733E9","559","569.0"
"0","2.916799677E9","550","568.0"
"1","2.906531057E9","542","566.0"
