"Tijd","Kost beste oplossing","nViolations beste oplossing","Feasibility factor beste oplossing"
"0","3.242066526499004E7","92","92.0"
"0","3.0306415261591036E7","86","86.0"
"0","2.8896960135280035E7","81","82.0"
"0","2.6077864830204032E7","73","74.0"
"0","2.466832210108003E7","68","70.0"
"0","2.3258976327247027E7","63","66.0"
"0","2.1496952264494024E7","60","61.0"
"0","1.9382706787785023E7","54","55.0"
"0","1.8678171248953022E7","49","53.0"
"0","1.7973407850591023E7","47","51.0"
"0","1.6563735234507019E7","46","47.0"
"0","1.656359920581002E7","47","47.0"
"0","1.656342154133102E7","47","47.0"
"0","1.5506354057119017E7","44","44.0"
"0","1.4801656245776018E7","42","42.0"
