"Tijd","Kost beste oplossing","nViolations beste oplossing","Feasibility factor beste oplossing"
"0","356601.0","3566","3566.0"
"0","335702.0","3357","3357.0"
"0","203407.0","2034","2034.0"
"0","194908.0","1949","1949.0"
"0","185209.0","1852","1852.0"
"0","96015.0","960","960.0"
"0","88816.0","888","888.0"
"0","80117.0","801","801.0"
"0","73618.0","736","736.0"
"0","68119.0","681","681.0"
"0","56820.0","568","568.0"
"0","48621.0","486","486.0"
"0","22627.0","226","226.0"
"0","21828.0","218","218.0"
"0","12134.0","121","121.0"
"0","11535.0","115","115.0"
"0","6641.0","66","66.0"
"0","2447.0","24","24.0"
"0","852.0","8","8.0"
"0","356.0","3","3.0"
"0","257.0","2","2.0"
"0","161.0","1","1.0"
"0","62.0","0","0.0"
"0","61.0","0","0.0"
