"Tijd","Kost beste oplossing","nViolations beste oplossing","Feasibility factor beste oplossing"
"0","-1.0","0","0.0"
"0","-2.0","0","0.0"
"0","-3.0","0","0.0"
"0","-4.0","0","0.0"
"0","-5.0","0","0.0"
"0","-506.0","1","1.0"
"0","-1506.0","2","3.0"
"0","-2007.0","2","4.0"
"0","-3508.0","4","7.0"
"0","-3509.0","4","7.0"
"0","-5010.0","6","10.0"
"0","-5511.0","7","11.0"
"0","-6512.0","8","13.0"
"0","-7013.0","8","14.0"
"0","-7514.0","8","15.0"
"0","-8515.0","10","17.0"
"0","-9016.0","10","18.0"
"0","-9017.0","10","18.0"
"0","-10018.0","11","20.0"
"0","-11018.0","13","22.0"
"0","-13019.0","14","26.0"
"0","-13520.0","14","27.0"
"0","-15021.0","15","30.0"
"0","-16021.0","18","32.0"
"0","-17522.0","19","35.0"
"0","-18523.0","19","37.0"
"0","-19022.0","21","38.0"
"0","-20523.0","23","41.0"
"0","-22024.0","23","44.0"
"0","-24025.0","25","48.0"
"0","-26026.0","27","52.0"
"0","-26530.0","26","53.0"
"0","-28031.0","27","56.0"
"0","-28531.0","28","57.0"
"0","-29030.0","27","58.0"
"0","-30531.0","28","61.0"
