"Tijd","Kost beste oplossing","nViolations beste oplossing","Feasibility factor beste oplossing"
"0","-1.5057916314858851E9","1","1.0"
"0","-3.0117216334177275E9","2","2.0"
"0","-3.0118136925425134E9","2","2.0"
"0","-3.012361925871605E9","2","2.0"
"0","-3.0127285390715103E9","2","2.0"
"0","-4.519052070371649E9","3","3.0"
"0","-4.5193262994719515E9","3","3.0"
"0","-6.023494221518676E9","4","4.0"
"0","-2.5605060303670334E10","17","17.0"
"0","-3.0116945447004574E10","20","20.0"
"0","-3.012078153253584E10","20","20.0"
"0","-3.1619522478438442E10","21","21.0"
"0","-3.3129034053685955E10","22","22.0"
"0","-3.463509552160154E10","23","23.0"
"0","-1.1298673145038066E11","75","75.0"
"0","-1.446437845160899E11","96","96.0"
"0","-1.0551365878228596E13","20","7006.0"
"0","-2.580590297846447E15","361","1713487.0"
"0","-4.852608292181738E15","410","3222085.0"
"0","-5.742442032533665E15","388","3812926.0"
