"Tijd","Kost beste oplossing","nViolations beste oplossing","Feasibility factor beste oplossing"
"0","-6.734289812832488E7","1","1.0"
"0","-6.740219355782521E7","1","1.0"
"0","-4.040642473608636E8","6","6.0"
"0","-4.0408207232683593E8","6","6.0"
"0","-4.0411709931892556E8","6","6.0"
"0","-4.041733004663024E8","6","6.0"
"0","-4.042928688859E8","6","6.0"
"0","-4.714786923558195E8","7","7.0"
"0","-4.716013252794075E8","7","7.0"
"0","-7.410317181734424E8","11","11.0"
"0","-8.083210271384066E8","12","12.0"
"0","-8.083399787281828E8","12","12.0"
"0","-9.430960898712022E8","14","14.0"
"0","-1.6598137884956107E11","3","2465.0"
"0","-5.048096259729319E11","7","7497.0"
"0","-1.8647459179626703E13","84","276937.0"
"0","-3.0398355965015363E13","160","451452.0"
"0","-3.0489055679257848E13","161","452799.0"
